X,Y,OBJECTID,NAME,ADDRESS,CITY,STATE,ZIP,JURISDIC,L_SRC,SOURCE,L_DATE
146978.924199998,887392.140900001,218,WEST BROOKFIELD POLICE DEPARTMENT,2 EAST MAIN STREET,WEST BROOKFIELD,MA,01585,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
245359.6642,883528.9509,219,WEYMOUTH POLICE DEPARTMENT,140 WINTER STREET,WEYMOUTH,MA,02189,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
187930.124200001,875386.370900001,220,NORTHBRIDGE POLICE DEPARTMENT,1 HOPE STREET,NORTHBRIDGE,MA,01588,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
59961.8342000023,941852.920899998,221,WILLIAMSTOWN POLICE DEPARTMENT,31 NORTH STREET,WILLIAMSTOWN,MA,01267,LOCAL,BRPC,MEMA,2006/09/12 00:00:00+00
242462.0942,903046.260899998,222,WINTHROP POLICE DEPARTMENT,3 METCALF SQUARE,WINTHROP,MA,02152,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
175432.575599998,891200.395199999,223,WORCESTER POLICE DEPARTMENT,9-11 LINCOLN SQUARE,WORCESTER,MA,01604,LOCAL,MEMA,MEMA,2014/03/01 00:00:00+00
214159.582000002,868175.234299999,224,WRENTHAM POLICE DEPARTMENT,89 SOUTH STREET,WRENTHAM,MA,02093,LOCAL,MEMA,MEMA,2014/03/01 00:00:00+00
277264.674199998,825593.470899999,225,BARNSTABLE COUNTY SHERIFF,6000 SHERIFF'S PLACE,BOURNE,MA,02532,COUNTY,MASSGIS,MASSGIS,2007/02/13 00:00:00+00
234078.974200003,850153.420899998,226,TAUTON POLICE DEPARTMENT,23 SUMMER STREET,TAUNTON,MA,02780,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
311894.935599998,829036.542100001,227,DENNIS POLICE DEPARTMENT,90 BOB CROWELL ROAD,DENNIS,MA,02660,LOCAL,CAPECODCOM,MEMA,2014/03/01 00:00:00+00
154386.890900001,886189.550099999,228,EAST BROOKFIELD POLICE DEPARTMENT,122 CONNIE MACK DRIVE,EAST BROOKFIELD,MA,01515,LOCAL,MEMA,MEMA,2014/03/01 00:00:00+00
281992.084200002,793509.550900001,229,EDGARTOWN POLICE DEPARTMENT,72 PEASES POINT WAY,EDGARTOWN,MA,02539,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
263275.564199999,860650.080899999,230,KINGSTON POLICE DEPARTMENT,244 MAIN STREET,KINGSTON,MA,02346,LOCAL,OCPC,MEMA,2006/09/12 00:00:00+00
113919.448700003,926937.189599998,231,MONTAGUE POLICE DEPARTMENT,180 TURNPIKE ROAD,MONTAGUE,MA,01376,LOCAL,FRCOG,MEMA,2014/03/01 00:00:00+00
238831.663599998,902718.344799999,232,"STATE POLICE STATION F-1, LOGAN",2 SERVICE ROAD,BOSTON,MA,02128,STATE,MEMA,MEMA,2014/03/01 00:00:00+00
177413.005500004,875228.9648,233,SUTTON POLICE DEPARTMENT,489 CENTRAL TURNPIKE,SUTTON,MA,01590,LOCAL,MASSGIS,MASSGIS,2022/04/28 00:00:00+00
153475.383599997,922694.470899999,234,TEMPLETON POLICE DEPARTMENT,33 SOUTH ROAD,TEMPLETON,MA,01468,LOCAL,MASSGIS,MASSGIS,2022/05/17 00:00:00+00
318084.166100003,864526.3149,235,TRURO POLICE DEPARTMENT,344 US ROUTE 6,TRURO,MA,02666,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
206521.964199997,935461.420899998,236,TYNGSBOROUGH POLICE DEPARTMENT,20 WESTFORD ROAD,TYNGSBOROUGH,MA,01879,LOCAL,MAPC,MEMA,2006/09/12 00:00:00+00
168498.448399998,866742.137400001,237,WEBSTER POLICE DEPARTMENT,357 MAIN STREET,WEBSTER,MA,01570,LOCAL,MASSGIS,MASSGIS,2022/05/17 00:00:00+00
322338.5242,855782.290899999,238,WELLFLEET POLICE DEPARTMENT,36 GROSS HILL ROAD,WELLFLEET,MA,02667,LOCAL,CAPECODCOM,MEMA,2006/09/12 00:00:00+00
240273.4824,863248.238299999,239,WEST BRIDGEWATER POLICE DEPARTMENT,99 WEST CENTER STREET,WEST BRIDGEWATER,MA,02379,LOCAL,MASSGIS,MASSGIS,2022/05/18 00:00:00+00
269818.672200002,796751.103799999,240,WEST TISBURY POLICE DEPARTMENT,454 STATE ROAD,WEST TISBURY,MA,02575,LOCAL,MASSGIS,MASSGIS,2022/05/18 00:00:00+00
190518.404100001,890860.521000002,241,WESTBOROUGH POLICE DEPARTMENT,45 WEST MAIN STREET,WESTBOROUGH,MA,01581,LOCAL,MEMA,MEMA,2014/03/01 00:00:00+00
234517.874399997,813523.031300001,242,WESTPORT POLICE DEPARTMENT,56 HIX BRIDGE ROAD,WESTPORT,MA,02790,LOCAL,MASSGIS,MASSGIS,2022/05/18 00:00:00+00
223055.8539,886434.543299999,243,WESTWOOD POLICE DEPARTMENT,590 HIGH STREET,WESTWOOD,MA,02090,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
107740.305200003,911141.589600001,244,WHATELY POLICE DEPARTMENT,77 CHRISTIAN LANE,WHATELY,MA,01373,LOCAL,FRCOG,MEMA,2014/03/01 00:00:00+00
246834.537699997,870643.930399999,245,WHITMAN POLICE DEPARTMENT,20 ESSEX STREET,WHITMAN,MA,02382,LOCAL,OCPC,MEMA,2014/03/01 00:00:00+00
155112.853200004,937041.314800002,246,WINCHENDON POLICE DEPARTMENT,80 CENTRAL STREET,WINCHENDON,MA,01475,LOCAL,MASSGIS,MASSGIS,2022/05/19 00:00:00+00
229946.9287,911488.274099998,247,WINCHESTER POLICE DEPARTMENT,30 MOUNT VERNON STREET,WINCHESTER,MA,01890,LOCAL,MEMA,MEMA,2014/03/01 00:00:00+00
72005.0241999999,919002.210900001,248,WINDSOR POLICE DEPARTMENT,1890 ROUTE 9,WINDSOR,MA,01270,LOCAL,BRPC,MEMA,2006/09/12 00:00:00+00
304511.910599999,825062.019099999,249,YARMOUTH POLICE DEPARTMENT,1 BRAD ERICKSON WAY,YARMOUTH,MA,02673,LOCAL,CAPECODCOM,MEMA,2014/03/01 00:00:00+00
242021.874200001,823930.9509,250,BRISTOL COUNTY SHERIFF,400 FAUNCE CORNER ROAD,DARTMOUTH,MA,02747,COUNTY,MASSGIS,MASSGIS,2007/02/13 00:00:00+00
235629.864200003,898297.690900002,251,SUFFOLK COUNTY SHERIFF,20 BRADSTON STREET,BOSTON,MA,02118,COUNTY,MASSGIS,MEMA,2007/02/13 00:00:00+00
177892.314199999,897109.7509,252,WORCESTER COUNTY SHERIFF,5 PAUL X. TIVNAN DRIVE,WEST BOYLSTON,MA,01583,COUNTY,MASSGIS,MEMA,2006/09/12 00:00:00+00
308500.0942,824626.470899999,253,"STATE POLICE STATION D-2, SOUTH YARMOUTH",1171 STATE ROAD,YARMOUTH,MA,02673,STATE,CAPECODCOM,MEMA,2014/03/01 00:00:00+00
217465.944200002,894470.480900001,254,WELLESLEY POLICE DEPARTMENT,485 WASHINGTON STREET,WELLESLEY,MA,02482,LOCAL,MEMA,MEMA,2006/09/12 00:00:00+00
248615.067599997,818328.638599999,255,NEW BEDFORD POLICE (SOUTH END) STATION 2,912 BROCK AVEENUE,NEW BEDFORD,MA,02744,LOCAL,MASSGIS,MASSGIS,2022/05/13 00:00:00+00
247086.530199997,825842.260499999,256,NEW BEDFORD POLICE (NORTH END) STATION 3,781 ASHLEY BOULEVARD,NEW BEDFORD,MA,02740,LOCAL,SRPED,MEMA,2006/09/12 00:00:00+00
103416.324199997,891235.310899999,257,EASTHAMPTON POLICE DEPARTMENT,32 PAYSON AVENUE,EASTHAMPTON,MA,01027,LOCAL,BRPC,MEMA,2006/09/12 00:00:00+00
93092.4382999986,910906.153200001,258,GOSHEN POLICE DEPARTMENT,42 MAIN STREET,GOSHEN,MA,01032,LOCAL,MASSGIS,MEMA,2015/12/02 00:00:00+00
110770.944200002,900782.830899999,259,HADLEY POLICE DEPARTMENT,15 EAST STREET,HADLEY,MA,01035,LOCAL,BRPC,MEMA,2006/09/12 00:00:00+00
109656.384199999,903034.5009,260,HATFIELD POLICE DEPARTMENT,59 MAIN STREET,HATFIELD,MA,01038,LOCAL,BRPC,MEMA,2006/09/12 00:00:00+00
108467.944200002,884309.960900001,261,HOLYOKE POLICE DEPARTMENT,138 APPLETON STREET,HOLYOKE,MA,01040,LOCAL,BRPC,MEMA,2006/09/12 00:00:00+00
86567.0011000037,887359.873500001,262,HUNTINGTON POLICE DEPARTMENT,24 RUSSELL ROAD,HUNTINGTON,MA,01050,LOCAL,BRPC,MEMA,2006/09/12 00:00:00+00
119688.4142,881012.170899998,263,LUDLOW POLICE DEPARTMENT,612 CHAPIN STREET,LUDLOW,MA,01056,LOCAL,BRPC,MEMA,2006/09/12 00:00:00+00
75621.6142000034,900446.120900001,264,MIDDLEFIELD POLICE DEPARTMENT,188 SKYLINE TRAIL,MIDDLEFIELD,MA,01243,LOCAL,BRPC,MEMA,2006/09/12 00:00:00+00
106650.597000003,897186.4705,265,NORTHAMPTON POLICE DEPARTMENT,29 CENTER STREET,NORTHAMPTON,MA,01060,LOCAL,BRPC,MEMA,2006/09/12 00:00:00+00
120199.964199997,903539.230900001,266,PELHAM POLICE DEPARTMENT,2 SOUTH VALLEY ROAD,PELHAM,MA,01002,LOCAL,BRPC,MEMA,2006/09/12 00:00:00+00
83908.9941999987,919362.170899998,267,PLAINFIELD POLICE DEPARTMENT,315 MAIN STREET,PLAINFIELD,MA,01070,LOCAL,BRPC,MEMA,2006/09/12 00:00:00+00
109690.874200001,885594.440900002,268,SOUTH HADLEY POLICE DEPARTMENT,41 BRIDGE STREET,SOUTH HADLEY,MA,01075,LOCAL,BRPC,MEMA,2006/09/12 00:00:00+00
98558.2342000008,887215.970899999,269,SOUTHAMPTON POLICE DEPARTMENT,8 EAST STREET,SOUTHAMPTON,MA,01073,LOCAL,BRPC,MEMA,2006/09/12 00:00:00+00
130050.5242,892515.730900001,270,"STATE POLICE STATION C-7, BELCHERTOWN",485 WARE ROAD,BELCHERTOWN,MA,01007,STATE,BRPC,MEMA,2006/09/12 00:00:00+00
87819.5542000011,882761.8609,271,"STATE POLICE STATION B-5, RUSSELL",90 WESTFIELD ROAD,RUSSELL,MA,01071,STATE,BRPC,MEMA,2014/03/01 00:00:00+00
247704.021899998,796916.974300001,272,GOSNOLD POLICE DEPARTMENT,28 TOWER HILL ROAD,GOSNOLD,MA,02173,LOCAL,MEMA,MEMA,2007/01/03 00:00:00+00
142644.195900001,884967.682399999,273,WARREN POLICE DEPARTMENT,1 MILTON FOUNTAIN WAY,WARREN,MA,01083,LOCAL,MASSGIS,MASSGIS,2022/05/17 00:00:00+00
